iter	Passed	Remaining
599	6523	15222
600	6533	15209
601	6543	15195
602	6553	15183
603	6564	15171
604	6574	15158
605	6583	15144
606	6594	15133
607	6603	15119
608	6613	15106
609	6624	15094
610	6634	15082
611	6645	15072
612	6655	15060
613	6666	15049
614	6677	15036
615	6688	15027
616	6699	15016
617	6709	15004
618	6719	14990
619	6729	14977
620	6738	14964
621	6747	14949
622	6758	14937
623	6768	14926
624	6779	14914
625	6789	14901
626	6798	14886
627	6807	14872
628	6817	14860
629	6827	14848
630	6839	14838
631	6849	14825
632	6858	14811
633	6867	14795
634	6875	14780
635	6885	14767
636	6894	14752
637	6907	14745
638	6915	14729
639	6926	14718
640	6935	14703
641	6945	14691
642	6954	14677
643	6964	14663
644	6974	14651
645	6984	14638
646	6994	14626
647	7005	14615
648	7014	14601
649	7023	14586
650	7033	14575
651	7044	14563
652	7054	14552
653	7063	14537
654	7073	14525
655	7083	14512
656	7093	14499
657	7104	14488
658	7114	14476
659	7122	14461
660	7133	14449
661	7142	14436
662	7152	14423
663	7162	14411
664	7173	14400
665	7184	14389
666	7193	14376
667	7203	14364
668	7213	14350
669	7223	14339
670	7234	14328
671	7243	14314
672	7253	14302
673	7263	14289
674	7273	14276
675	7283	14265
676	7292	14251
677	7303	14240
678	7313	14229
679	7323	14216
680	7334	14205
681	7344	14193
682	7356	14184
683	7368	14176
684	7378	14164
685	7390	14156
686	7401	14146
687	7411	14133
688	7420	14118
689	7430	14107
690	7440	14095
691	7450	14082
692	7459	14069
693	7469	14056
694	7478	14042
695	7489	14031
696	7500	14022
697	7509	14007
698	7519	13995
699	7527	13979
700	7537	13967
701	7547	13955
702	7557	13943
703	7568	13933
704	7578	13921
705	7588	13908
706	7598	13897
707	7607	13882
708	7618	13871
709	7628	13859
710	7639	13850
711	7649	13837
712	7658	13823
713	7669	13813
714	7679	13800
715	7688	13787
716	7699	13777
717	7711	13769
718	7722	13758
719	7732	13746
720	7742	13735
721	7753	13724
722	7763	13711
723	7773	13699
724	7783	13688
725	7793	13675
726	7802	13662
727	7812	13650
728	7820	13635
729	7832	13625
730	7842	13614
731	7852	13602
732	7862	13589
733	7871	13577
734	7881	13565
735	7892	13554
736	7903	13544
737	7913	13532
738	7922	13519
739	7932	13506
740	7941	13493
741	7950	13479
742	7959	13465
743	7967	13450
744	7978	13440
745	7988	13427
746	7998	13416
747	8008	13403
748	8017	13390
749	8026	13378
750	8036	13364
751	8047	13355
752	8056	13342
753	8065	13329
754	8075	13315
755	8084	13302
756	8093	13289
757	8103	13277
758	8115	13269
759	8124	13256
760	8135	13244
761	8144	13231
762	8154	13220
763	8163	13207
764	8173	13195
765	8183	13183
766	8193	13171
767	8203	13159
768	8213	13147
769	8223	13135
770	8232	13123
771	8242	13110
772	8252	13099
773	8262	13087
774	8274	13078
775	8283	13065
776	8292	13052
777	8301	13038
778	8312	13028
779	8323	13019
780	8334	13008
781	8345	12998
782	8356	12988
783	8366	12977
784	8378	12968
785	8389	12957
786	8399	12946
787	8409	12934
788	8419	12921
789	8428	12909
790	8438	12897
791	8449	12886
792	8458	12873
793	8466	12860
794	8476	12847
795	8484	12834
796	8495	12822
797	8503	12809
798	8514	12798
799	8525	12788
800	8534	12775
801	8545	12764
802	8555	12753
803	8565	12741
804	8574	12729
805	8586	12720
806	8595	12706
807	8603	12692
808	8612	12678
809	8621	12665
810	8630	12653
811	8641	12642
812	8652	12632
813	8664	12623
814	8674	12612
815	8684	12601
816	8694	12590
817	8703	12576
818	8714	12566
819	8724	12555
820	8732	12540
821	8742	12528
822	8751	12515
823	8760	12503
824	8771	12492
825	8781	12480
826	8790	12468
827	8799	12455
828	8809	12443
829	8819	12432
830	8829	12420
831	8840	12410
832	8849	12398
833	8860	12387
834	8869	12374
835	8879	12363
836	8890	12353
837	8900	12341
838	8910	12330
839	8921	12320
840	8930	12307
841	8939	12294
842	8948	12281
843	8957	12268
844	8966	12255
845	8976	12244
846	8987	12233
847	8995	12220
848	9005	12209
849	9016	12198
850	9026	12187
851	9035	12174
852	9044	12161
853	9055	12151
854	9065	12139
855	9075	12129
856	9084	12116
857	9092	12102
858	9103	12092
859	9112	12078
860	9124	12070
861	9133	12057
862	9143	12046
863	9154	12036
864	9163	12023
865	9173	12011
866	9182	11999
867	9192	11987
868	9201	11975
869	9211	11963
870	9221	11953
871	9231	11941
872	9240	11929
873	9251	11918
874	9261	11907
875	9271	11896
876	9281	11884
877	9290	11872
878	9300	11861
879	9310	11849
880	9322	11841
881	9333	11830
882	9343	11819
883	9354	11809
884	9366	11800
885	9377	11790
886	9392	11785
887	9404	11776
888	9414	11765
889	9425	11755
890	9437	11746
891	9447	11735
892	9460	11727
893	9472	11718
894	9484	11709
895	9494	11698
896	9504	11686
897	9515	11677
898	9528	11669
899	9539	11659
900	9550	11649
901	9561	11639
902	9571	11628
903	9583	11619
904	9595	11609
905	9605	11598
906	9617	11589
907	9625	11576
908	9634	11563
909	9643	11551
910	9654	11541
911	9664	11530
912	9674	11517
913	9683	11505
914	9692	11493
915	9703	11482
916	9712	11470
917	9721	11458
918	9730	11445
919	9739	11433
920	9750	11423
921	9759	11411
922	9769	11399
923	9779	11388
924	9789	11376
925	9799	11366
926	9810	11355
927	9820	11343
928	9830	11333
929	9840	11321
930	9849	11309
931	9860	11299
932	9869	11287
933	9880	11276
934	9892	11267
935	9901	11255
936	9912	11245
937	9923	11234
938	9933	11224
939	9944	11214
940	9955	11203
941	9965	11192
942	9976	11182
943	9986	11170
944	9995	11159
945	10005	11147
946	10016	11138
947	10027	11128
948	10037	11116
949	10048	11106
950	10058	11095
951	10068	11084
952	10078	11072
953	10087	11060
954	10097	11049
955	10106	11036
956	10116	11026
957	10127	11015
958	10136	11003
959	10146	10992
960	10156	10980
961	10165	10968
962	10174	10956
963	10185	10946
964	10195	10935
965	10205	10924
966	10216	10913
967	10226	10902
968	10236	10891
969	10246	10880
970	10257	10869
971	10267	10859
972	10278	10848
973	10288	10837
974	10296	10824
975	10308	10814
976	10318	10804
977	10330	10795
978	10344	10788
979	10355	10778
980	10365	10767
981	10376	10756
982	10386	10745
983	10397	10735
984	10406	10723
985	10416	10712
986	10426	10701
987	10435	10688
988	10444	10676
989	10454	10666
990	10464	10654
991	10474	10643
992	10484	10632
993	10494	10621
994	10503	10609
995	10512	10597
996	10524	10587
997	10534	10576
998	10544	10565
999	10553	10553
1000	10562	10541
1001	10572	10530
1002	10582	10519
1003	10592	10508
1004	10601	10495
1005	10610	10484
1006	10621	10473
1007	10631	10462
1008	10643	10453
1009	10656	10445
1010	10669	10436
1011	10680	10427
1012	10692	10417
1013	10704	10408
1014	10715	10398
1015	10729	10391
1016	10739	10380
1017	10751	10371
1018	10761	10360
1019	10771	10349
1020	10781	10338
1021	10793	10328
1022	10805	10319
1023	10815	10308
1024	10825	10297
1025	10836	10287
1026	10845	10275
1027	10858	10266
1028	10871	10258
1029	10882	10248
1030	10893	10238
1031	10903	10227
1032	10914	10217
1033	10927	10208
1034	10937	10198
1035	10947	10186
1036	10957	10175
1037	10967	10164
1038	10978	10154
1039	10990	10144
1040	11002	10135
1041	11011	10124
1042	11023	10115
1043	11034	10104
1044	11045	10093
1045	11057	10085
1046	11069	10075
1047	11079	10064
1048	11091	10054
1049	11101	10044
1050	11111	10033
1051	11123	10023
1052	11136	10015
1053	11148	10005
1054	11158	9994
1055	11169	9984
1056	11181	9975
1057	11192	9965
1058	11204	9955
1059	11215	9946
1060	11227	9936
1061	11240	9928
1062	11251	9917
1063	11261	9906
1064	11273	9897
1065	11285	9887
1066	11296	9878
1067	11310	9869
1068	11322	9860
1069	11333	9850
1070	11346	9842
1071	11356	9831
1072	11367	9820
1073	11376	9809
1074	11387	9798
1075	11396	9787
1076	11407	9775
1077	11417	9765
1078	11428	9754
1079	11437	9743
1080	11447	9732
1081	11456	9719
1082	11466	9709
1083	11477	9698
1084	11487	9687
1085	11496	9675
1086	11505	9664
1087	11514	9652
1088	11524	9640
1089	11533	9629
1090	11543	9618
1091	11553	9606
1092	11562	9594
1093	11572	9583
1094	11581	9572
1095	11590	9560
1096	11599	9548
1097	11610	9537
1098	11618	9525
1099	11629	9514
1100	11637	9502
1101	11647	9491
1102	11658	9480
1103	11669	9470
1104	11681	9461
1105	11691	9450
1106	11701	9439
1107	11711	9428
1108	11719	9416
1109	11730	9405
1110	11740	9394
1111	11750	9383
1112	11761	9372
1113	11771	9362
1114	11782	9351
1115	11792	9340
1116	11803	9330
1117	11813	9319
1118	11824	9309
1119	11834	9298
1120	11845	9288
1121	11854	9276
1122	11865	9266
1123	11875	9255
1124	11885	9244
1125	11894	9232
1126	11903	9220
1127	11913	9209
1128	11922	9197
1129	11932	9186
1130	11942	9176
1131	11953	9165
1132	11963	9154
